날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,등락률
2021-06-01,982.25,984.61,979.13,984.59,1779134671,9307165354697,410198729530081,
2021-06-02,985.5,986.0,977.74,981.1,1608837586,9639645807445,408626969774157,-0.35446226348023124
2021-06-03,981.52,992.01,981.52,990.19,1704638309,8903652596634,412623714616328,0.9265110590153941
2021-06-04,990.16,990.16,983.02,987.58,2145264098,9881302433859,411626501939352,-0.26358577646714404
2021-06-07,989.16,993.06,982.14,985.86,1954562972,9593189295963,410940950546112,-0.17416310577371225
2021-06-08,986.43,988.35,982.75,986.12,1870820092,10590624231171,411012620425734,0.026372912989673068
2021-06-09,986.59,989.15,978.79,978.79,1687026003,10707179239580,407968255243612,-0.743317243337529
2021-06-10,979.52,993.08,979.47,987.77,1822081867,11158582914620,411720368833280,0.9174593120076848
2021-06-11,989.39,993.9,989.15,991.13,1548048245,9302575660730,413452800863739,0.3401601587414088
2021-06-14,992.8,998.85,991.93,997.41,1410029915,8648789497348,416060123492539,0.6336202112739976
2021-06-15,998.05,999.53,993.64,997.37,1643386486,9272013405861,415922787479071,-0.00401038690207273
2021-06-16,997.68,1000.43,995.35,998.49,1435443567,8458793242890,416454471929237,0.11229533673561512
2021-06-17,998.27,1004.7,994.76,1003.72,1879605156,10138782773724,418787424540406,0.5237909242956883
2021-06-18,1004.57,1016.33,1004.57,1015.88,1849423450,11630309166631,423922152780844,1.2114932451281202
2021-06-21,1014.59,1014.59,1006.83,1010.99,1506150987,11060016377784,421945247103062,-0.4813560656770471
2021-06-22,1012.01,1016.7,1008.11,1011.56,1611178252,11361988493104,422123177352320,0.05638037962788319
2021-06-23,1012.78,1020.85,1012.78,1016.46,1861225824,15440030033107,424693629699365,0.48440033216023676
2021-06-24,1017.11,1019.35,1010.18,1012.62,1862769084,12802685707274,423111351428983,-0.377781713003958
2021-06-25,1013.97,1018.98,1011.31,1012.13,1340335001,9845815540016,423253943120004,-0.048389326697083714
2021-06-28,1013.47,1018.76,1013.47,1017.91,1587502357,9860922680859,425676140763402,0.5710728858941018
2021-06-29,1019.64,1026.83,1019.28,1022.52,2061941918,11864825291981,427689302215526,0.45288876226778535
2021-06-30,1023.74,1030.94,1023.74,1029.96,2086090133,10424600134472,430852268750372,0.7276141297969776
2021-07-01,1030.48,1036.47,1028.48,1035.64,1686829722,11193236448322,433343011836407,0.5514777272903864
2021-07-02,1036.28,1038.54,1033.94,1038.18,1685412039,12315435942919,434367744576722,0.2452589702985558
2021-07-05,1039.79,1048.16,1039.79,1047.33,1743060742,13870149686160,438133554796721,0.8813500549037607
2021-07-06,1047.6,1049.24,1043.51,1044.96,1964143239,12052441399772,436408555236986,-0.22628970811491037
2021-07-07,1045.0,1050.31,1042.42,1047.36,1692983960,13770429999361,437764656273515,0.22967386311436452
2021-07-08,1047.96,1049.95,1028.14,1034.48,1869433462,15076515066718,432462660464132,-1.2297586312251645
2021-07-09,1031.78,1031.78,1013.91,1028.93,2188638702,16117024439742,430338424020886,-0.5365014306704774
2021-07-12,1030.36,1037.01,1030.36,1034.64,1716579256,10521164597353,432781974597761,0.5549454287463711
2021-07-13,1035.68,1044.64,1035.68,1043.31,1706838384,12868946954311,436637530493466,0.8379726281605046
2021-07-14,1043.5,1045.45,1038.68,1044.98,1714355799,12921471521369,437311499321458,0.16006747754742817
2021-07-15,1046.57,1055.82,1046.57,1054.31,2057346426,14717739646084,441302326422663,0.8928400543551003
2021-07-16,1053.85,1053.95,1044.7,1051.98,1728614265,11962097470508,439277850957363,-0.2209976192960256
2021-07-19,1049.51,1051.45,1046.9,1049.83,1404708503,11490891576495,438254882904271,-0.2043765090591162
2021-07-20,1040.99,1049.2,1036.14,1043.64,1645090439,13173212169315,435763960794600,-0.5896192716915908
2021-07-21,1051.73,1051.95,1041.44,1042.03,1322431057,12054385633639,435136915674887,-0.15426775516462835
2021-07-22,1046.51,1051.94,1046.51,1050.25,1623555413,13719638220793,438722951266277,0.7888448509160031
2021-07-23,1053.01,1059.18,1053.01,1055.5,1387871291,11489955224009,441045046066939,0.49988098071887643
2021-07-26,1059.91,1060.21,1045.27,1047.63,1267942889,11547869131951,437943873263120,-0.745618190431065
2021-07-27,1050.87,1053.46,1045.66,1046.55,1550178367,11787582715930,438069645140399,-0.10308983133359625
2021-07-28,1043.19,1048.78,1030.04,1035.68,1421011305,11763085049011,433789919954429,-1.0386508050260277
2021-07-29,1040.45,1044.79,1039.26,1044.13,1206053845,10242211515037,436016220558679,0.8158890777074043
2021-07-30,1044.28,1044.36,1029.19,1031.14,1339556449,10862103635482,431002824833462,-1.2440979571509303
2021-08-02,1033.17,1038.49,1029.26,1037.8,1202119976,9558869602146,433576142634198,0.6458870764396546
2021-08-03,1038.91,1041.76,1029.05,1036.11,1504475073,11502919135679,432870713562794,-0.16284447870495805
2021-08-04,1038.96,1047.93,1035.98,1047.93,1485459389,12036705821031,437927097386031,1.14080551292818
2021-08-05,1050.45,1060.14,1050.32,1059.54,1374783413,11892679952479,442746097426831,1.107898428330127
2021-08-06,1061.32,1062.03,1055.64,1059.8,1346819616,10222599400268,442943362567919,0.02453895086546906
2021-08-09,1059.29,1061.78,1054.58,1060.0,1352833724,13620289329328,443085977787914,0.01887148518588842
2021-08-10,1060.9,1060.9,1048.98,1052.07,1689404454,12998339519041,439963433806927,-0.7481132075471758
2021-08-11,1050.48,1057.03,1048.7,1051.92,1308328199,12738079063451,440941647898410,-0.014257606433019055
2021-08-12,1054.16,1058.41,1052.21,1054.09,1089521907,12692268968746,441879392583593,0.20628945166931376
2021-08-13,1054.28,1054.46,1024.48,1040.78,1372315163,13044592285920,436624809366874,-1.2627005284178718
2021-08-17,1039.66,1039.66,1009.21,1011.05,1176479166,12262428473077,424665454367757,-2.8565114625569303
2021-08-18,1006.8,1022.09,999.26,1021.08,1095404874,11748690495630,428808322933653,0.9920379803175002
2021-08-19,1013.93,1022.77,991.13,991.15,1401855005,12148931578966,416692695265248,-2.93121009127591
2021-08-20,997.02,1000.67,964.02,967.9,1266099067,12190380219219,408591996539144,-2.3457599757857035
2021-08-23,977.87,996.23,969.48,993.18,993511266,10296601618224,419217755555069,2.6118400661225305
2021-08-24,1002.19,1015.09,1000.72,1013.18,1326076918,12377736833398,427039371777845,2.013733663585654
2021-08-25,1017.96,1017.96,1006.98,1017.78,1225841208,10816491514067,429489097888340,0.4540160682208515
2021-08-26,1020.85,1026.26,1015.91,1020.44,1081654384,11180169707648,430319914198000,0.2613531411503549
2021-08-27,1017.36,1027.26,1014.1,1023.51,1298908156,11406684565352,431572258752024,0.3008506134608538
2021-08-30,1030.65,1035.77,1027.84,1031.84,1178120943,12200172741599,435388315979671,0.8138660101024833
2021-08-31,1032.77,1038.33,1026.36,1038.33,1243473897,13623946468144,438022823462682,0.6289734842611268
2021-09-01,1038.09,1046.0,1035.09,1045.98,1145478500,12022604000530,440812884706616,0.7367599895986913
2021-09-02,1048.15,1048.2,1042.36,1047.19,1292476797,11427941630718,441259857358480,0.11568098816421313
2021-09-03,1049.81,1054.53,1047.12,1053.85,1435361402,12103383599963,444098819986813,0.6359877386147551
2021-09-06,1056.3,1056.3,1049.27,1052.96,1331555858,10880614330842,444024963370838,-0.08445224652463564
2021-09-07,1054.03,1054.76,1049.8,1054.43,1568516031,11912893314215,444754596676937,0.13960644278985215
2021-09-08,1053.46,1053.46,1037.22,1037.22,1479336261,11490320271385,437821726277239,-1.6321614521589898
2021-09-09,1033.97,1042.04,1027.64,1034.62,1414153405,11120049299621,436799116498971,-0.25067006035365075
2021-09-10,1035.86,1039.73,1026.97,1037.91,1378379001,11346322957348,438788954150453,0.3179911465079151
2021-09-13,1036.86,1037.5,1023.98,1026.34,1261320042,11293321989389,433474434881504,-1.1147401990538837
2021-09-14,1029.57,1038.94,1028.4,1037.74,1157085076,10835020038294,438236418448785,1.1107430286260003
2021-09-15,1039.57,1044.26,1038.8,1042.79,1438562152,10981025205942,440310242042624,0.4866344170986909
2021-09-16,1047.85,1048.37,1037.72,1039.43,1131795685,9824587326945,438749514615599,-0.32221252601193917
2021-09-17,1040.73,1046.13,1033.69,1046.12,1160928052,10015698180738,441460079778840,0.6436219851264469
2021-09-23,1040.38,1043.58,1036.25,1036.26,968174945,8944856527666,437574971088129,-0.9425304936336081
2021-09-24,1040.43,1045.21,1034.8,1037.03,1306783503,11609039774307,438342789829077,0.0743056761816515
2021-09-27,1037.21,1039.63,1031.93,1034.82,1045959758,9391058104375,438030979698356,-0.21310858895114282
2021-09-28,1034.04,1034.07,1012.51,1012.51,1396083037,11058076989719,428895986394031,-2.1559304999903315
2021-09-29,994.61,1004.85,989.07,1001.46,1313134191,10231070525590,424692994271143,-1.091347245953122
2021-09-30,1001.92,1010.03,999.58,1003.27,1290217375,10376952766694,425618382401229,0.18073612525711913
2021-10-01,998.7,1002.68,982.26,983.2,1371271438,11792050726209,416951983881276,-2.000458500702696
2021-10-05,974.24,974.24,950.09,955.37,1346265019,11661440540237,405150027566390,-2.830553295362087
2021-10-06,962.62,967.67,922.36,922.36,1651916244,13277921283319,392727529211677,-3.4552058364821994
2021-10-07,932.65,953.48,932.32,953.43,1353557216,10685912221155,406545805846351,3.368532893880907
2021-10-08,959.81,961.72,948.02,953.11,1339875035,11200342898141,406605402466677,-0.033563030322093526
2021-10-12,951.12,951.12,936.95,940.15,1142383534,8629240929449,401105990838963,-1.3597591044055815
2021-10-13,939.4,954.63,939.28,953.47,1049502909,9340619809442,406746302690497,1.4167951922565603
2021-10-14,960.58,983.63,960.52,983.43,1191419853,11105866087309,419563013621520,3.1422068864253645
2021-10-15,990.24,992.16,981.83,990.54,1365015404,11764984606769,422904129256407,0.7229797748695905
2021-10-18,992.57,997.92,985.14,993.86,1188921086,9740207830369,424330514996207,0.3351707149635603
2021-10-19,997.57,1005.35,997.1,1005.35,1375183920,12240802751841,429310538619943,1.1560984444489173
2021-10-20,1009.11,1011.55,1001.1,1001.62,1552193249,11827293635053,427826189364811,-0.3710150693788251
2021-10-21,1003.48,1004.61,992.04,993.7,1559956716,11817299443322,424749090561410,-0.7907190351630319
2021-10-22,992.22,1000.15,989.43,995.07,1161757809,10771157419543,425781067107259,0.1378685720036233
2021-10-25,994.75,995.39,986.55,994.31,1061836072,8737161207277,425437548603624,-0.07637653632408821
2021-10-26,1000.32,1011.76,1000.29,1011.76,1330616766,9991541408685,432990292153404,1.7549858695980174
2021-10-27,1012.91,1013.17,1006.03,1008.95,1273224675,11207852223318,431939999325316,-0.277733849924878
2021-10-28,1008.93,1011.5,999.59,1000.13,1311944369,11407407913073,428184000016564,-0.874176123692953
2021-10-29,1004.91,1005.19,991.03,992.33,1318558678,10407000817514,425205954505588,-0.7798986131802821
2021-11-01,995.56,1001.25,994.28,998.57,1173729999,10938622668484,429084558556825,0.6288230729696783
2021-11-02,1000.96,1012.2,1000.96,1009.44,1399930759,10826784587141,433942487239632,1.0885566359894654
2021-11-03,1011.2,1013.68,1003.66,1005.0,1099571601,10258777705298,432055399313600,-0.43984783642416136
2021-11-04,1012.62,1015.72,995.73,1001.43,1227813093,11418124829686,430353454538720,-0.3552238805970199
2021-11-05,1006.04,1006.04,995.35,1001.35,1253704592,11271591794126,430421532035926,-0.007988576335832484
2021-11-08,999.08,1003.18,988.36,1002.5,1254164590,10375408483886,430895728191855,0.11484495930493607
2021-11-09,1002.51,1010.79,1002.51,1008.68,1245497354,11659256395296,433588443941298,0.6164588528678254
2021-11-10,1006.59,1006.9,983.82,987.75,1476502817,14354186393141,425780255167798,-2.0749890946583607
2021-11-11,981.42,994.69,979.68,992.65,1108639885,12919701760092,427847548553403,0.49607694254618856
2021-11-12,999.29,1009.15,998.14,1009.07,856017580,11961657280067,435405394416065,1.6541580617538985
2021-11-15,1016.35,1029.07,1016.16,1029.03,932602849,11727310938119,444075252174115,1.9780590048262183
2021-11-16,1029.35,1035.98,1027.07,1035.46,995271359,13408979760445,446578961130180,0.6248603053360995
2021-11-17,1039.36,1039.36,1028.02,1031.26,1410240728,16138328944504,445377127450418,-0.4056168273038114
2021-11-18,1033.16,1034.51,1018.13,1032.77,1467430336,14920600398097,446203604074411,0.1464228225665682
2021-11-19,1032.07,1042.4,1029.54,1041.92,1268957422,13397520463189,450938406584796,0.8859668658074974
2021-11-22,1043.55,1045.36,1023.13,1032.31,1320324223,14537344182526,447133257664301,-0.9223356879607001
2021-11-23,1024.33,1029.08,1012.95,1013.72,1037747986,11656504011083,439265359557293,-1.8008156464627796
2021-11-24,1015.23,1021.13,1003.19,1020.13,1023600040,11197105285054,442042985564224,0.6323245077536171
2021-11-25,1023.41,1025.9,1015.62,1015.66,1097455962,11633756355210,439680919576126,-0.43817944771745043
2021-11-26,1017.9,1021.15,999.4,1005.89,1239981144,14129245038385,435589065367490,-0.961936080971977
2021-11-29,986.64,1002.79,980.26,992.34,1347690421,13027892641875,429666318680950,-1.3470657825408299
2021-11-30,1003.04,1004.83,960.84,965.63,1356752020,15438608276619,418808272904352,-2.691617792288937
2021-12-01,969.9,977.73,949.86,977.15,1079797538,12150973154702,423861519579088,1.1930035313732985
2021-12-02,967.34,978.16,961.98,977.43,1091537350,12346721801988,423999641982597,0.02865476129560177
2021-12-03,981.65,998.49,977.91,998.47,1211827400,10563290752183,433213610767510,2.1525838167439177
2021-12-06,990.07,994.15,980.87,991.87,1060487530,10411792834236,430237684596149,-0.6610113473614653
2021-12-07,996.89,999.52,991.07,996.64,1017251343,11173734150755,432398081907593,0.4809097966467361
2021-12-08,1006.61,1012.64,1003.92,1006.04,1065606558,12033920414527,436475610108375,0.9431690480012821
2021-12-09,1009.29,1022.87,1009.29,1022.87,1060993102,11094331065320,443671151691760,1.6728957099121349
2021-12-10,1016.34,1018.42,1010.02,1011.57,1153420893,11060443518846,439846924196262,-1.104734717021709
2021-12-13,1014.27,1014.9,1005.96,1005.96,1339322710,11497778932588,437471422879508,-0.5545834692606556
2021-12-14,1001.11,1007.73,996.85,1002.81,1081580537,10304040060288,436213478092887,-0.31313372301086434
2021-12-15,1002.18,1007.44,999.21,1003.52,1125306039,10406637581192,436595791418957,0.07080104905216705
2021-12-16,1013.05,1016.32,1006.9,1007.86,1336914031,12447275181054,438852179769454,0.4324776785714317
2021-12-17,1001.51,1005.36,995.93,1001.26,1095248020,10335780047776,436220014726675,-0.6548528565475386
2021-12-20,1001.17,1004.75,990.51,990.51,1009820662,10568759886075,431776419073318,-1.0736472045223018
2021-12-21,994.53,997.3,982.43,996.6,1371817709,11768346637023,434549269899128,0.6148347820819611
2021-12-22,1004.1,1005.23,999.05,1000.13,1182499203,10925724483426,436198794272414,0.3542042946016428
2021-12-23,1004.45,1007.42,1001.48,1003.31,1435842578,11870959043649,437820806126368,0.31795866537349643
2021-12-24,1008.05,1010.98,1005.61,1007.42,1235763775,10866440448675,439628750148269,0.4096440781014855
2021-12-27,1008.9,1013.7,1006.87,1011.36,1151529210,10044619548010,437280772439099,0.3910980524508204
2021-12-28,1016.29,1027.45,1014.39,1027.44,1286746402,13243096735294,444227877043742,1.5899383009017602
