날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,등락률
2021-06-01,3207.12,3233.17,3199.18,3221.87,1472570767,15270803742087,2252414411981180,
2021-06-02,3224.4,3241.07,3216.1,3224.23,1495671343,17740841975268,2253801396792756,0.07324938622601557
2021-06-03,3224.96,3258.5,3224.96,3247.43,1584799068,16890461822422,2271047146370102,0.7195516448888516
2021-06-04,3246.17,3246.19,3218.67,3240.08,1392319539,16051031275689,2266301575442776,-0.22633282318633227
2021-06-07,3244.59,3264.41,3233.4,3252.12,1733348139,19023221710305,2274803755886820,0.37159576306757747
2021-06-08,3251.83,3264.67,3242.56,3247.83,1951319356,19352173579005,2271737873708297,-0.13191395151470314
2021-06-09,3245.08,3246.49,3216.18,3216.18,1964923269,17164709655058,2250239307892509,-0.9744968178753227
2021-06-10,3216.94,3235.39,3210.31,3224.64,1896766322,19170539861596,2255706784028795,0.2630449788258131
2021-06-11,3226.98,3251.58,3226.98,3249.32,1645508762,17956256842935,2272865086057899,0.7653567530018945
2021-06-14,3249.6,3254.49,3238.51,3252.13,1664527170,15262485462973,2274655820005211,0.08647963266160136
2021-06-15,3253.17,3262.8,3247.9,3258.63,1734497293,14838275276764,2279093890070678,0.1998690089264574
2021-06-16,3259.06,3281.96,3256.68,3278.68,2345810978,16297981235711,2293095236719969,0.6152892473217189
2021-06-17,3276.2,3276.2,3251.32,3264.96,1848671013,14672132506589,2283628537465567,-0.41846108799882276
2021-06-18,3265.68,3275.76,3262.58,3267.93,1627658120,17492731865668,2285587401970588,0.09096589238458663
2021-06-21,3264.18,3264.18,3225.56,3240.79,1508634470,17291259635405,2266650210510417,-0.8304951452448454
2021-06-22,3245.79,3267.63,3245.79,3263.88,1666696733,15512033241198,2283310826631788,0.7124805988663303
2021-06-23,3265.73,3281.88,3263.07,3276.19,1069174741,17865268589384,2292900832121707,0.3771584739635019
2021-06-24,3281.47,3292.27,3277.85,3286.1,1301271218,21426510325089,2300141383127961,0.30248550908219163
2021-06-25,3289.18,3316.08,3289.18,3302.84,1198187970,18618608315198,2312030311092176,0.5094184595721444
2021-06-28,3305.46,3311.69,3291.3,3301.89,1428764468,13796055583387,2311642030646070,-0.028763125068131452
2021-06-29,3305.26,3305.42,3276.63,3286.68,1213046625,15509502688918,2300482290686251,-0.46064526680174195
2021-06-30,3288.63,3305.73,3288.63,3296.68,1610375510,15646662100364,2307579219297640,0.30425840057443987
2021-07-01,3297.92,3300.12,3278.1,3282.06,1159231481,16075974682786,2297428890483759,-0.44347646723369843
2021-07-02,3282.81,3295.68,3278.19,3281.78,1019998165,15437887450990,2296886523040171,-0.008531227338919622
2021-07-05,3285.29,3298.93,3285.29,3293.21,850406170,14529926270282,2305240405381368,0.34828660056432287
2021-07-06,3295.44,3313.51,3295.44,3305.21,1029465279,14686383269810,2314417369845986,0.36438611567437246
2021-07-07,3303.59,3303.59,3277.66,3285.34,1147641017,14507060037927,2300642185602643,-0.6011720889141655
2021-07-08,3287.68,3295.71,3252.41,3252.68,1516034403,16870624131454,2277841603600861,-0.9941132424650205
2021-07-09,3245.52,3245.52,3188.8,3217.95,1308364633,16473105860696,2253697507876528,-1.0677349139786276
2021-07-12,3227.51,3251.45,3227.51,3246.47,1135042856,11280079226180,2273494421274092,0.8862785313631345
2021-07-13,3253.24,3273.9,3253.24,3271.38,1150101046,13494445819170,2290584923288806,0.7672949388104714
2021-07-14,3270.09,3270.09,3250.45,3264.81,908953938,12993100764877,2286388813170516,-0.20083267611834035
2021-07-15,3269.33,3286.58,3263.09,3286.22,1172430582,13683900975965,2301050677859845,0.6557808877086218
2021-07-16,3282.89,3282.89,3259.32,3276.91,1066507087,14781318750668,2304505794912590,-0.2833042218719363
2021-07-19,3258.87,3258.87,3236.39,3244.04,1095559262,12855281198924,2281788152500030,-1.0030791202687865
2021-07-20,3223.24,3234.8,3214.42,3232.7,979670175,15292372447870,2273800449712422,-0.34956412374693735
2021-07-21,3251.13,3252.25,3215.91,3215.91,990326915,14864747567296,2262423629944087,-0.5193800847588692
2021-07-22,3235.17,3253.75,3235.17,3250.21,712983404,13039249952509,2286455396722820,1.066572136658059
2021-07-23,3253.44,3264.01,3246.09,3254.42,805048259,13209383405119,2288976880025907,0.12953009190175516
2021-07-26,3265.99,3265.99,3224.95,3224.95,826066626,12212490543815,2268644077336709,-0.9055376994979214
2021-07-27,3244.43,3252.85,3230.75,3232.53,991938990,12348469240739,2273599243456935,0.23504240375820964
2021-07-28,3226.06,3243.21,3210.9,3236.86,868602620,11979296757213,2276373997484781,0.13395080633435502
2021-07-29,3248.49,3252.26,3232.5,3242.65,694823189,10491306617501,2280494338742598,0.17887705986665978
2021-07-30,3234.37,3234.66,3202.32,3202.32,687861015,12808243381658,2252545492371046,-1.2437358333461805
2021-08-02,3218.42,3223.04,3194.0,3223.04,561003439,10237986168170,2267461202539862,0.6470309025956119
2021-08-03,3221.57,3237.14,3213.2,3237.14,653512911,12491381488029,2278025799127965,0.43747517871326164
2021-08-04,3246.65,3283.14,3237.55,3280.38,632241743,12357119579176,2308134804816621,1.3357469865375065
