,press,title,date,emotion
9,동아일보,"원전수사팀 “경제성 조작, 수천억 피해”… 대검 “배임 적용 신중”",20210601,0.0
20,동아일보,CJ ENM “5년간 5조원 투자해 오리지널 콘텐츠 제작”,20210601,2.0
87,동아일보,"한은 “국내 증시, 실물경제 제대로 반영 못해”",20210601,0.0
99,동아일보,SSG닷컴 “모든 고객에 한달간 ‘VIP급’ 혜택”,20210601,2.0
144,동아일보,“신나게 두드려요”,20210601,1.0
152,동아일보,“집값-가계빚-고령화가 한국의 불안요소”,20210601,0.0
169,동아일보,부산사랑의열매 ‘노블레스 오블리주’ 문화 정착에 한몫,20210601,1.0
218,동아일보,유통업계 ‘백신 휴가’ 잇따라 도입… 롯데쇼핑-현대百-홈플러스 등 동참,20210601,2.0
310,동아일보,자율주행 시대에… 車 무선 업데이트 여전히 ‘덜컹’,20210601,2.0
329,동아일보,"김오수 임명 강행… 與 3분만에 단독처리, 文은 7시간뒤 재가",20210601,2.0
346,동아일보,LG전자 ‘32인치 대화면 게이밍 모니터’ 신제품 출시,20210601,1.0
367,동아일보,"KT, 1200억 ESG 채권 발행… ICT 업계 최초",20210601,1.0
406,동아일보,공부 못다한 恨 풀려다… ‘구독자찐대박’ 홍진경,20210601,2.0
525,동아일보,"노령연금, 年 770만원 넘으면 과세 대상",20210601,2.0
532,동아일보,“당 개혁하면 尹오지 말라 해도 올텐데 러브콜만 하니…”,20210601,2.0
544,동아일보,"경북도, 경산 ‘메디컬융합소재실용화센터’ 본격 운영",20210601,2.0
572,동아일보,“1일은 세계 우유의 날”,20210601,2.0
676,동아일보,"‘학폭’ 누명 벗은 박상하, 현대캐피탈 전격 입단",20210601,1.0
849,동아일보,전국 9개 단지 4049채 분양… 본보기집 20곳 열어,20210601,2.0
1067,동아일보,“삼성전자 미니 LED TV 잡아라”… LG전자 - 中TCL 본격 추격전,20210601,2.0
1070,동아일보,해운대수목원 산책하는 시민들,20210601,2.0
1120,동아일보,황의조 “리그1서 편해져 골사냥 자신감”,20210601,1.0
1161,동아일보,‘대구국제뮤지컬페스티벌’ 18일 팡파르… 온·오프라인 무대 선보인다,20210601,2.0
1428,동아일보,이낙연 “국민 70% 중산층으로 만들겠다”,20210601,2.0
1460,동아일보,“어제 DC 오늘 NY”… SNS에 동선 노출한 국정원 수장 박지원,20210601,2.0
1680,동아일보,동원시스템즈-한국콜마 친환경 포장재 개발 협약,20210601,2.0
1707,동아일보,"인천공항? 대관령? 진짜보다 더 진짜같은, ‘가상 세트장’입니다",20210601,2.0
1728,동아일보,"얀센 101만명분, 1일부터 예약 시작…당국 “얀센도 노쇼 백신 접종 준비중”",20210601,2.0
1765,동아일보,대관령 한우 올해 첫 초지 나들이,20210601,1.0
1804,동아일보,"결혼 1주년 앨리 유잉, LPGA ‘매치퀸’ 등극",20210601,1.0
1933,동아일보,기업 기밀 ‘인질’로 “몸값내라”…안내면 디도스 공격 협박까지,20210601,0.0
1992,동아일보,"경남농기원, 곤충에서 피부미백 조성물 특허 출원",20210601,2.0
2051,동아일보,"울산광역시민대상 후보자… 울산시, 내달까지 추천 받아",20210601,2.0
2069,동아일보,"고운 얼굴의 ‘다크 히어로’…이제훈 “사적 복수, 시원하셨나요?”",20210601,2.0
2125,동아일보,"檢, 이용구 수사 경찰간부 불러 ‘외압 여부’ 추궁",20210601,0.0
2198,동아일보,"코크랙, PGA 슈와브 챌린지 14언더 통산 2승",20210601,2.0
2210,동아일보,"티웨이항공, 유기견보호 봉사활동",20210601,1.0
2273,동아일보,서울 집값 상승폭 석달만에 다시 확대,20210601,0.0
2300,동아일보,"대구시, 화이자 3000만명분 도입 추진",20210601,2.0
2509,동아일보,北 “미사일 지침 종료는 적대행위” 9일만에 첫 반응,20210601,0.0
2672,동아일보,4월 소비지수 역대 최고… 소비쿠폰 하반기 재개 검토,20210601,2.0
2689,동아일보,"남양유업 주가, 경영권 매각 소식에 이틀간 59%↑",20210601,2.0
2691,동아일보,“인천 시민의 행복한 일상 지키고 어린이 안전 최우선 과제 삼겠다”,20210601,1.0
2703,동아일보,나와 우리 미래세대를 위한 탄소중립,20210601,2.0
2996,동아일보,“주식 소수점 매매 언제 할수있나요”… 규제에 발목잡힌 금융혁신,20210601,0.0
3011,동아일보,P4G 서울회의 개막 영상에 평양사진… 靑 “외주제작사 실수” 野 “외교 망신”,20210601,0.0
3065,동아일보,"미래차 주도권, AI 반도체에 있다",20210601,2.0
3115,동아일보,다운증후군 친구의 손발이 되어준 美10대들의 우정,20210601,1.0
3184,동아일보,강정마을 상생화합 공동선언식 개최,20210601,2.0
3217,동아일보,"美서 다시 퍼지는 ‘코로나, 中 우한연구소 유출설’",20210601,0.0
3222,동아일보,"플레이모빌, 미술관에 가다",20210601,2.0
6888,동아일보,대전서 가장 비싼 땅은 은행동 ‘이안경원’ 자리… 1㎡당 1495만원,20210601,2.0
6963,동아일보,“수소 생태계 구축” SK가스-롯데케미칼 손잡는다,20210601,2.0
7019,동아일보,"‘이구동성 최강’ 장충고냐, 시속 155km ‘괴물’의 광주진흥고냐",20210601,2.0
7074,동아일보,"인천시, 세어도 ‘갯벌정원’으로 조성한다",20210601,2.0
7201,동아일보,한화 김동관 “친환경 에너지기술로 기후변화 대응”,20210601,2.0
7257,동아일보,"프로야구, 4명까지 나란히 앉아 관전 허용",20210601,2.0
7307,동아일보,아스트라 부작용 ‘희귀 혈전증’ 국내 첫 확인,20210601,0.0
7452,동아일보,"네타냐후, 측근 변심에 ‘아뿔싸’… 이스라엘 최장수 총리 실각 위기",20210601,0.0
7538,동아일보,“공부하다 죽어라” 혜암스님의 수행 여정 오롯이 담아,20210601,2.0
8073,동아일보,나경원-주호영 후보 단일화론 솔솔… 이준석 “1 더하기 1이 1.5도 안 될 수도”,20210601,2.0
8082,동아일보,美 “전작권 전환 2단계 검증 올해도 어렵다”,20210601,0.0
8161,동아일보,친절 택시기사 선정을 위한 감동 수기 공모 外,20210601,2.0
8173,동아일보,나주 한국에너지공대 1일 착공식… 세계 에너지 특화대학으로 첫발,20210601,2.0
8293,동아일보,"日, 올림픽 관중 ‘코로나 음성 증명서’ 요구할 듯",20210601,2.0
8307,동아일보,"삼성카드-카카오페이, 제휴 신용카드 선봬 外",20210601,2.0
8404,동아일보,"‘손정민 친구 폰’ 습득 미화원, 잔디밭서 주워 2주 넘게 보관",20210601,2.0
8464,동아일보,7개월밖에 안된 재정준칙 돈풀기 위해 손보려는 與,20210601,2.0
8469,동아일보,"‘남혐 논란’ GS리테일, 마케팅 팀장 등 징계",20210601,0.0
8483,동아일보,"DL이앤씨, 서산 ‘e편한세상 석림 더노블’ 분양",20210601,2.0
8498,동아일보,美 ‘털사 인종 대학살’ 100주년… 무장한 흑인 시위대,20210601,0.0
8513,동아일보,"文대통령, 김오수 검찰총장 임명… ‘野 패싱’ 인사 33번째",20210601,2.0
8524,동아일보,"김하성, 보름 만에 시즌 3호… 9회 마지막 타석 투런",20210601,1.0
8561,동아일보,2차 추경 돈풀려는 與… ‘나라 곳간 안전장치’ 풀기 나서,20210601,2.0
8628,동아일보,"OECD “한국, 올해 3.8% 성장”… 두달 전보다 0.5%P↑",20210601,1.0
8703,동아일보,윤석열 장모 ‘요양급여 부정수급’ 징역 3년 구형,20210601,0.0
8805,동아일보,"네이버, AI ‘클로바 케어콜’ 활용, 코로나 백신 접종자 모니터링",20210601,1.0
8889,동아일보,"국내 철강사, 車강판 값 4년 만에 인상",20210601,2.0
9025,동아일보,"대우건설, 대구 ‘용계역 푸르지오 아츠베르’ 분양",20210601,2.0
9032,동아일보,소설 읽는 식품몰-TMI동영상… ‘고객 오래 붙잡기’ 나선 이커머스,20210601,2.0
9114,동아일보,더위 피해 저수지 붕어 낚시,20210601,2.0
9145,동아일보,"윤석열, 외가 강릉서 野권성동 만나… 사흘전엔 본가 공주의원 정진석 접촉",20210601,2.0
9213,동아일보,"수베로, 대타 안 쓰는 ‘대범한 야구’",20210601,2.0
9250,동아일보,"도봉구 해등로 녹지연결로 조성공사, 주민 의견수렴 거쳐 3개월만에 재개",20210601,1.0
9300,동아일보,"기아, 스포티지 완전변경 모델 티저 공개",20210601,1.0
9493,동아일보,"확진자 12일 입원-접촉자 14일 격리, 불합리한 기준 손볼 때",20210601,0.0
9691,동아일보,‘김학의 불법출금 수사 지휘’ 오인서 수원고검장 사의,20210601,0.0
9700,동아일보,‘공생의 도구’를 위하여… 직지의 고장 청주서 ‘K-공예’ 알린다,20210601,2.0
9761,동아일보,"여수시, 공공배달앱 ‘씽씽여수’ 6월 할인행사",20210601,2.0
9991,동아일보,남구 도서관학교 수강생 모집 外,20210601,2.0
10043,동아일보,"경기 치과주치의 사업 6월 시작, 초등학교 4, 5학년 무료 구강검진",20210601,2.0
10055,동아일보,재정준칙 마음대로 고쳐 현금 퍼주기 나서려는 여당,20210601,0.0
10119,동아일보,밤10시 넘자 강남역 앞은 ‘야외 클럽’…술자리-즉석만남,20210601,0.0
10169,동아일보,"文, 김오수 임명 강행… 시험대 오른 檢 정치중립",20210601,2.0
172,동아일보,"日, 올림픽 선수촌 술 제공 방침… ‘특별대우’ 논란",20210602,0.0
363,동아일보,트럼프 초대 안보보좌관 “미국에서도 미얀마처럼 쿠데타 일어나야” 파문,20210602,0.0
490,동아일보,SK텔레콤 ‘티다 디즈니 스페셜 에디션’ 출시,20210602,2.0
837,동아일보,"‘성추행’ 오거돈, 첫 공판서 국민참여재판 거부",20210602,0.0
941,동아일보,"유럽 정상들 “美-덴마크 합작도청, 해명해야”… 中 “美가 해커제국” 가세",20210602,0.0
973,동아일보,"“탈레반, 美협력 아프간인 보복 우려”… 美철군 앞두고 보호 비상",20210602,0.0
988,동아일보,"北, 김정은 바로 아래 ‘제1비서’ 신설… 김여정 가능성",20210602,0.0
1059,동아일보,"얀센 90만명분, 18시간만에 예약 끝… 30대 “일상회복 기대 들떠”",20210602,1.0
1231,동아일보,서울 핵심 상권부터 대형개발까지… 급변하는 상업용 부동산 시장 전략,20210602,2.0
1257,동아일보,"법원 “종중재산 나눌 때, 사위도 며느리와 같은 몫 줘야”",20210602,2.0
