Date,Open,High,Low,Close,거래량,거래대금,상장시가총액,Change
2021-06-01,3207.12,3233.17,3199.18,3221.87,1472570767,1.52708E+13,2.25241E+15,
2021-06-02,3224.4,3241.07,3216.1,3224.23,1495671343,1.77408E+13,2.2538E+15,0.0732493862
2021-06-03,3224.96,3258.5,3224.96,3247.43,1584799068,1.68905E+13,2.27105E+15,0.719551645
2021-06-04,3246.17,3246.19,3218.67,3240.08,1392319539,1.6051E+13,2.2663E+15,-0.226332823
2021-06-07,3244.59,3264.41,3233.4,3252.12,1733348139,1.90232E+13,2.2748E+15,0.371595763
2021-06-08,3251.83,3264.67,3242.56,3247.83,1951319356,1.93522E+13,2.27174E+15,-0.131913952
2021-06-09,3245.08,3246.49,3216.18,3216.18,1964923269,1.71647E+13,2.25024E+15,-0.974496818
2021-06-10,3216.94,3235.39,3210.31,3224.64,1896766322,1.91705E+13,2.25571E+15,0.263044979
2021-06-11,3226.98,3251.58,3226.98,3249.32,1645508762,1.79563E+13,2.27287E+15,0.765356753
2021-06-14,3249.6,3254.49,3238.51,3252.13,1664527170,1.52625E+13,2.27466E+15,0.0864796327
2021-06-15,3253.17,3262.8,3247.9,3258.63,1734497293,1.48383E+13,2.27909E+15,0.199869009
2021-06-16,3259.06,3281.96,3256.68,3278.68,2345810978,1.6298E+13,2.2931E+15,0.615289247
2021-06-17,3276.2,3276.2,3251.32,3264.96,1848671013,1.46721E+13,2.28363E+15,-0.418461088
2021-06-18,3265.68,3275.76,3262.58,3267.93,1627658120,1.74927E+13,2.28559E+15,0.0909658924
2021-06-21,3264.18,3264.18,3225.56,3240.79,1508634470,1.72913E+13,2.26665E+15,-0.830495145
2021-06-22,3245.79,3267.63,3245.79,3263.88,1666696733,1.5512E+13,2.28331E+15,0.712480599
2021-06-23,3265.73,3281.88,3263.07,3276.19,1069174741,1.78653E+13,2.2929E+15,0.377158474
2021-06-24,3281.47,3292.27,3277.85,3286.1,1301271218,2.14265E+13,2.30014E+15,0.302485509
2021-06-25,3289.18,3316.08,3289.18,3302.84,1198187970,1.86186E+13,2.31203E+15,0.50941846
2021-06-28,3305.46,3311.69,3291.3,3301.89,1428764468,1.37961E+13,2.31164E+15,-0.0287631251
2021-06-29,3305.26,3305.42,3276.63,3286.68,1213046625,1.55095E+13,2.30048E+15,-0.460645267
2021-06-30,3288.63,3305.73,3288.63,3296.68,1610375510,1.56467E+13,2.30758E+15,0.304258401
2021-07-01,3297.92,3300.12,3278.1,3282.06,1159231481,1.6076E+13,2.29743E+15,-0.443476467
2021-07-02,3282.81,3295.68,3278.19,3281.78,1019998165,1.54379E+13,2.29689E+15,-0.00853122734
2021-07-05,3285.29,3298.93,3285.29,3293.21,850406170,1.45299E+13,2.30524E+15,0.348286601
2021-07-06,3295.44,3313.51,3295.44,3305.21,1029465279,1.46864E+13,2.31442E+15,0.364386116
2021-07-07,3303.59,3303.59,3277.66,3285.34,1147641017,1.45071E+13,2.30064E+15,-0.601172089
2021-07-08,3287.68,3295.71,3252.41,3252.68,1516034403,1.68706E+13,2.27784E+15,-0.994113242
2021-07-09,3245.52,3245.52,3188.8,3217.95,1308364633,1.64731E+13,2.2537E+15,-1.067734914
2021-07-12,3227.51,3251.45,3227.51,3246.47,1135042856,1.12801E+13,2.27349E+15,0.886278531
2021-07-13,3253.24,3273.9,3253.24,3271.38,1150101046,1.34944E+13,2.29058E+15,0.767294939
2021-07-14,3270.09,3270.09,3250.45,3264.81,908953938,1.29931E+13,2.28639E+15,-0.200832676
2021-07-15,3269.33,3286.58,3263.09,3286.22,1172430582,1.36839E+13,2.30105E+15,0.655780888
2021-07-16,3282.89,3282.89,3259.32,3276.91,1066507087,1.47813E+13,2.30451E+15,-0.283304222
2021-07-19,3258.87,3258.87,3236.39,3244.04,1095559262,1.28553E+13,2.28179E+15,-1.00307912
2021-07-20,3223.24,3234.8,3214.42,3232.7,979670175,1.52924E+13,2.2738E+15,-0.349564124
2021-07-21,3251.13,3252.25,3215.91,3215.91,990326915,1.48647E+13,2.26242E+15,-0.519380085
2021-07-22,3235.17,3253.75,3235.17,3250.21,712983404,1.30392E+13,2.28646E+15,1.066572137
2021-07-23,3253.44,3264.01,3246.09,3254.42,805048259,1.32094E+13,2.28898E+15,0.129530092
2021-07-26,3265.99,3265.99,3224.95,3224.95,826066626,1.22125E+13,2.26864E+15,-0.905537699
2021-07-27,3244.43,3252.85,3230.75,3232.53,991938990,1.23485E+13,2.2736E+15,0.235042404
2021-07-28,3226.06,3243.21,3210.9,3236.86,868602620,1.19793E+13,2.27637E+15,0.133950806
2021-07-29,3248.49,3252.26,3232.5,3242.65,694823189,1.04913E+13,2.28049E+15,0.17887706
2021-07-30,3234.37,3234.66,3202.32,3202.32,687861015,1.28082E+13,2.25255E+15,-1.243735833
2021-08-02,3218.42,3223.04,3194,3223.04,561003439,1.0238E+13,2.26746E+15,0.647030903
2021-08-03,3221.57,3237.14,3213.2,3237.14,653512911,1.24914E+13,2.27803E+15,0.437475179
2021-08-04,3246.65,3283.14,3237.55,3280.38,632241743,1.23571E+13,2.30813E+15,1.335746987
2021-08-05,3283.25,3296.17,3273.33,3276.13,680941049,1.18777E+13,2.30564E+15,-0.129558161
2021-08-06,3277.06,3288.17,3261.93,3270.36,941361338,1.54554E+13,2.33463E+15,-0.176122437
2021-08-09,3258.1,3275.15,3251.74,3260.42,707654201,1.57325E+13,2.32931E+15,-0.303942074
2021-08-10,3272.44,3272.44,3232.46,3243.19,730349269,2.16579E+13,2.33921E+15,-0.528459524
2021-08-11,3235.36,3250.21,3217.65,3220.62,618092869,1.91934E+13,2.32261E+15,-0.695919758
2021-08-12,3213.58,3229.59,3202.11,3208.38,643282554,2.04039E+13,2.31309E+15,-0.380051046
2021-08-13,3205.75,3209.72,3146.76,3171.29,696468122,2.0202E+13,2.28538E+15,-1.156035133
2021-08-17,3169.74,3179.49,3134.48,3143.09,690842314,2.22416E+13,2.2654E+15,-0.889228043
2021-08-18,3141.98,3175.88,3124.56,3158.93,622791632,1.67526E+13,2.27682E+15,0.503962661
2021-08-19,3140.01,3158,3097.83,3097.83,655629079,1.71708E+13,2.23522E+15,-1.934199238
2021-08-20,3111.1,3122.09,3049.03,3060.51,672088491,1.64506E+13,2.20966E+15,-1.204714268
2021-08-23,3086.81,3111.81,3064.65,3090.21,570979933,1.3424E+13,2.23074E+15,0.970426498
2021-08-24,3119.7,3142.58,3115.23,3138.3,586535144,1.49461E+13,2.26671E+15,1.556204918
2021-08-25,3148.13,3161,3124.25,3146.81,624688408,1.33656E+13,2.27231E+15,0.271165918
2021-08-26,3151.3,3159.37,3121.04,3128.53,727719083,1.33353E+13,2.25928E+15,-0.580905743
2021-08-27,3116.29,3143.01,3106.97,3133.9,520668771,1.10399E+13,2.26242E+15,0.171646109
2021-08-30,3160.87,3164.87,3132.77,3144.19,602858388,1.17587E+13,2.26958E+15,0.328344874
2021-08-31,3144.49,3199.89,3130.3,3199.27,661221167,1.58636E+13,2.30906E+15,1.751802531
2021-09-01,3195.67,3215.13,3185.8,3207.02,746705227,1.35379E+13,2.31766E+15,0.242242762
2021-09-02,3198.03,3204.01,3171.78,3175.85,757859615,1.53784E+13,2.2971E+15,-0.971930328
2021-09-03,3189.71,3203.08,3181.64,3201.06,641510055,1.3111E+13,2.3158E+15,0.793803234
2021-09-06,3196.3,3206.25,3186.79,3203.33,726190124,1.23135E+13,2.31835E+15,0.0709140097
2021-09-07,3200.07,3201.76,3176.81,3187.42,760159709,1.19433E+13,2.30664E+15,-0.496670652
2021-09-08,3178.74,3187.55,3157.07,3162.99,859889326,1.73027E+13,2.29025E+15,-0.766450609
2021-09-09,3146.64,3158.6,3111.49,3114.7,927368577,1.77871E+13,2.25611E+15,-1.526719971
2021-09-10,3121.09,3131.54,3103.38,3125.76,723085303,1.35665E+13,2.26287E+15,0.355090378
2021-09-13,3117.35,3139.13,3109.01,3127.86,732269520,1.35054E+13,2.26416E+15,0.0671836609
2021-09-14,3137.32,3164.31,3137.32,3148.83,713227276,1.57873E+13,2.28026E+15,0.670426426
2021-09-15,3147.21,3164.01,3138.8,3153.4,616557070,1.21627E+13,2.28416E+15,0.145133272
2021-09-16,3165.38,3167.68,3126.65,3130.09,612873472,1.22595E+13,2.26722E+15,-0.739202131
2021-09-17,3127.75,3142.13,3112.51,3140.51,589244026,1.49377E+13,2.28448E+15,0.332897776
2021-09-23,3123.64,3131.63,3107.98,3127.58,623841308,1.40091E+13,2.27533E+15,-0.411716568
2021-09-24,3140.73,3146.86,3119.4,3125.24,753222478,1.25582E+13,2.27359E+15,-0.0748182301
2021-09-27,3121.7,3146.35,3119.26,3133.64,883229339,1.2267E+13,2.27989E+15,0.268779358
2021-09-28,3133.4,3134.46,3095.72,3097.92,894913170,1.46587E+13,2.25432E+15,-1.139888436
2021-09-29,3055.5,3069.04,3030.6,3060.27,821557926,1.5137E+13,2.22672E+15,-1.215331577
2021-09-30,3054.87,3079.43,3046.43,3068.82,885818713,1.49429E+13,2.23196E+15,0.279387113
2021-10-01,3056.21,3062.6,3015.01,3019.18,855481955,1.2944E+13,2.19549E+15,-1.617559844
2021-10-05,2998.17,2998.17,2940.59,2962.17,840557005,1.53155E+13,2.15367E+15,-1.888261051
2021-10-06,2986.06,2993.47,2908.3,2908.31,901721943,1.56686E+13,2.11493E+15,-1.818261612
2021-10-07,2936.87,2961.53,2927.6,2959.46,595381702,1.19067E+13,2.15141E+15,1.758753365
2021-10-08,2977.82,2978.08,2949.01,2956.3,668946781,1.26341E+13,2.15012E+15,-0.106776236
2021-10-12,2950.22,2950.94,2901.51,2916.38,660180934,1.27676E+13,2.12056E+15,-1.350336569
2021-10-13,2913.34,2953.33,2909.47,2944.41,752132429,1.22945E+13,2.14137E+15,0.961123036
