date,Open,High,Low,Close,거래량,거래대금,상장시가총액,Change,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210601,982.25,984.61,979.13,984.59,1779134671,9307170000000.0,410199000000000.0,,일반언론,0.2702702702702703,0.10270270270270271,0.6270270270270271,740.0,네이버금융,0.35714285714285715,0.5,0.14285714285714285,14,200.0,76.0,464.0,5.0,7.0,2.0
20210602,985.5,986.0,977.74,981.1,1608837586,9639650000000.0,408627000000000.0,-0.354462263,일반언론,0.2536656891495601,0.12316715542521994,0.6231671554252199,682.0,네이버금융,0.5,0.3888888888888889,0.1111111111111111,18,173.0,84.0,425.0,9.0,7.0,2.0
20210603,981.52,992.01,981.52,990.19,1704638309,8903650000000.0,412624000000000.0,0.926511059,일반언론,0.2594670406732118,0.09957924263674614,0.6409537166900421,713.0,네이버금융,0.15789473684210525,0.7368421052631579,0.10526315789473684,19,185.0,71.0,457.0,3.0,14.0,2.0
20210604,990.16,990.16,983.02,987.58,2145264098,9881300000000.0,411627000000000.0,-0.263585776,일반언론,0.2562326869806094,0.1260387811634349,0.6177285318559557,722.0,네이버금융,0.7894736842105263,0.10526315789473684,0.10526315789473684,19,185.0,91.0,446.0,15.0,2.0,2.0
20210607,989.16,993.06,982.14,985.86,1954562972,9593190000000.0,410941000000000.0,-0.174163106,일반언론,0.2923809523809524,0.09904761904761905,0.6085714285714285,1050.0,네이버금융,0.43478260869565216,0.391304347826087,0.17391304347826086,23,307.0,104.0,639.0,10.0,9.0,4.0
20210608,986.43,988.35,982.75,986.12,1870820092,10590600000000.0,411013000000000.0,0.026372913,일반언론,0.2624113475177305,0.1148936170212766,0.6226950354609929,705.0,네이버금융,0.55,0.1,0.35,20,185.0,81.0,439.0,11.0,2.0,7.0
20210609,986.59,989.15,978.79,978.79,1687026003,10707200000000.0,407968000000000.0,-0.743317243,일반언론,0.29108635097493035,0.11977715877437325,0.5891364902506964,718.0,네이버금융,0.625,0.1875,0.1875,16,209.0,86.0,423.0,10.0,3.0,3.0
20210610,979.52,993.08,979.47,987.77,1822081867,11158600000000.0,411720000000000.0,0.917459312,일반언론,0.2679355783308931,0.13177159590043924,0.6002928257686676,683.0,네이버금융,0.631578947368421,0.05263157894736842,0.3157894736842105,19,183.0,90.0,410.0,12.0,1.0,6.0
20210611,989.39,993.9,989.15,991.13,1548048245,9302580000000.0,413453000000000.0,0.340160159,일반언론,0.23295454545454544,0.10653409090909091,0.6605113636363636,704.0,네이버금융,0.5263157894736842,0.3157894736842105,0.15789473684210525,19,164.0,75.0,465.0,10.0,6.0,3.0
20210614,992.8,998.85,991.93,997.41,1410029915,8648790000000.0,416060000000000.0,0.633620211,일반언론,0.2755102040816326,0.09369202226345083,0.6307977736549165,1078.0,네이버금융,0.4090909090909091,0.22727272727272727,0.36363636363636365,22,297.0,101.0,680.0,9.0,5.0,8.0
20210615,998.05,999.53,993.64,997.37,1643386486,9272010000000.0,415923000000000.0,-0.0040103869,일반언론,0.2178932178932179,0.1038961038961039,0.6782106782106783,693.0,네이버금융,0.3,0.5,0.2,20,151.0,72.0,470.0,6.0,10.0,4.0
20210616,997.68,1000.43,995.35,998.49,1435443567,8458790000000.0,416454000000000.0,0.112295337,일반언론,0.23809523809523808,0.10714285714285714,0.6547619047619048,672.0,네이버금융,0.2631578947368421,0.42105263157894735,0.3157894736842105,19,160.0,72.0,440.0,5.0,8.0,6.0
20210617,998.27,1004.7,994.76,1003.72,1879605156,10138800000000.0,418787000000000.0,0.523790924,일반언론,0.26207906295754024,0.10248901903367497,0.6354319180087847,683.0,네이버금융,0.5,0.2222222222222222,0.2777777777777778,18,179.0,70.0,434.0,9.0,4.0,5.0
20210618,1004.57,1016.33,1004.57,1015.88,1849423450,11630300000000.0,423922000000000.0,1.211493245,일반언론,0.2524682651622003,0.10437235543018336,0.6431593794076164,709.0,네이버금융,0.47368421052631576,0.2631578947368421,0.2631578947368421,19,179.0,74.0,456.0,9.0,5.0,5.0
20210621,1014.59,1014.59,1006.83,1010.99,1506150987,11060000000000.0,421945000000000.0,-0.481356066,일반언론,0.31309297912713474,0.0920303605313093,0.594876660341556,1054.0,네이버금융,0.5454545454545454,0.2727272727272727,0.18181818181818182,22,330.0,97.0,627.0,12.0,6.0,4.0
20210622,1012.01,1016.7,1008.11,1011.56,1611178252,11362000000000.0,422123000000000.0,0.0563803796,일반언론,0.2895480225988701,0.1228813559322034,0.5875706214689266,708.0,네이버금융,0.3,0.5,0.2,20,205.0,87.0,416.0,6.0,10.0,4.0
20210623,1012.78,1020.85,1012.78,1016.46,1861225824,15440000000000.0,424694000000000.0,0.484400332,일반언론,0.2741046831955923,0.12396694214876033,0.6019283746556474,726.0,네이버금융,0.47368421052631576,0.47368421052631576,0.05263157894736842,19,199.0,90.0,437.0,9.0,9.0,1.0
20210624,1017.11,1019.35,1010.18,1012.62,1862769084,12802700000000.0,423111000000000.0,-0.377781713,일반언론,0.2843273231622746,0.09431345353675451,0.6213592233009708,721.0,네이버금융,0.7,0.15,0.15,20,205.0,68.0,448.0,14.0,3.0,3.0
20210625,1013.97,1018.98,1011.31,1012.13,1340335001,9845820000000.0,423254000000000.0,-0.0483893267,일반언론,0.2661064425770308,0.09943977591036414,0.634453781512605,714.0,네이버금융,0.47058823529411764,0.47058823529411764,0.058823529411764705,17,190.0,71.0,453.0,8.0,8.0,1.0
20210628,1013.47,1018.76,1013.47,1017.91,1587502357,9860920000000.0,425676000000000.0,0.571072886,일반언론,0.2550091074681239,0.10837887067395265,0.6366120218579235,1098.0,네이버금융,0.3157894736842105,0.42105263157894735,0.2631578947368421,19,280.0,119.0,699.0,6.0,8.0,5.0
20210629,1019.64,1026.83,1019.28,1022.52,2061941918,11864800000000.0,427689000000000.0,0.452888762,일반언론,0.23949579831932774,0.11064425770308123,0.6498599439775911,714.0,네이버금융,0.5,0.25,0.25,20,171.0,79.0,464.0,10.0,5.0,5.0
