date,Open,High,Low,Close,거래량,거래대금,상장시가총액,Change,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210601,3207.12,3233.17,3199.18,3221.87,1472570767,15270800000000.0,2252410000000000.0,,일반언론,0.2702702702702703,0.10270270270270271,0.6270270270270271,740.0,네이버금융,0.35714285714285715,0.5,0.14285714285714285,14,200.0,76.0,464.0,5.0,7.0,2.0
20210602,3224.4,3241.07,3216.1,3224.23,1495671343,17740800000000.0,2253800000000000.0,0.0732493862,일반언론,0.2536656891495601,0.12316715542521994,0.6231671554252199,682.0,네이버금융,0.5,0.3888888888888889,0.1111111111111111,18,173.0,84.0,425.0,9.0,7.0,2.0
20210603,3224.96,3258.5,3224.96,3247.43,1584799068,16890500000000.0,2271050000000000.0,0.719551645,일반언론,0.2594670406732118,0.09957924263674614,0.6409537166900421,713.0,네이버금융,0.15789473684210525,0.7368421052631579,0.10526315789473684,19,185.0,71.0,457.0,3.0,14.0,2.0
20210604,3246.17,3246.19,3218.67,3240.08,1392319539,16051000000000.0,2266300000000000.0,-0.226332823,일반언론,0.2562326869806094,0.1260387811634349,0.6177285318559557,722.0,네이버금융,0.7894736842105263,0.10526315789473684,0.10526315789473684,19,185.0,91.0,446.0,15.0,2.0,2.0
20210607,3244.59,3264.41,3233.4,3252.12,1733348139,19023200000000.0,2274800000000000.0,0.371595763,일반언론,0.2923809523809524,0.09904761904761905,0.6085714285714285,1050.0,네이버금융,0.43478260869565216,0.391304347826087,0.17391304347826086,23,307.0,104.0,639.0,10.0,9.0,4.0
20210608,3251.83,3264.67,3242.56,3247.83,1951319356,19352200000000.0,2271740000000000.0,-0.131913952,일반언론,0.2624113475177305,0.1148936170212766,0.6226950354609929,705.0,네이버금융,0.55,0.1,0.35,20,185.0,81.0,439.0,11.0,2.0,7.0
20210609,3245.08,3246.49,3216.18,3216.18,1964923269,17164700000000.0,2250240000000000.0,-0.974496818,일반언론,0.29108635097493035,0.11977715877437325,0.5891364902506964,718.0,네이버금융,0.625,0.1875,0.1875,16,209.0,86.0,423.0,10.0,3.0,3.0
20210610,3216.94,3235.39,3210.31,3224.64,1896766322,19170500000000.0,2255710000000000.0,0.263044979,일반언론,0.2679355783308931,0.13177159590043924,0.6002928257686676,683.0,네이버금융,0.631578947368421,0.05263157894736842,0.3157894736842105,19,183.0,90.0,410.0,12.0,1.0,6.0
20210611,3226.98,3251.58,3226.98,3249.32,1645508762,17956300000000.0,2272870000000000.0,0.765356753,일반언론,0.23295454545454544,0.10653409090909091,0.6605113636363636,704.0,네이버금융,0.5263157894736842,0.3157894736842105,0.15789473684210525,19,164.0,75.0,465.0,10.0,6.0,3.0
20210614,3249.6,3254.49,3238.51,3252.13,1664527170,15262500000000.0,2274660000000000.0,0.0864796327,일반언론,0.2755102040816326,0.09369202226345083,0.6307977736549165,1078.0,네이버금융,0.4090909090909091,0.22727272727272727,0.36363636363636365,22,297.0,101.0,680.0,9.0,5.0,8.0
