date,Close,Open,High,Low,Change,Change value,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210601,1108.38,1108.08,1110.59,1104.69,0.0016,1.800000000000182,일반언론,0.2702702702702703,0.10270270270270271,0.6270270270270271,740.0,네이버금융,0.35714285714285715,0.5,0.14285714285714285,14.0,200.0,76.0,464.0,5.0,7.0,2.0
20210602,1110.92,1108.49,1114.81,1106.78,0.0023,2.539999999999964,일반언론,0.2536656891495601,0.12316715542521994,0.6231671554252199,682.0,네이버금융,0.5,0.3888888888888889,0.1111111111111111,18.0,173.0,84.0,425.0,9.0,7.0,2.0
20210603,1116.46,1111.1,1118.82,1108.86,0.005,5.539999999999964,일반언론,0.2594670406732118,0.09957924263674614,0.6409537166900421,713.0,네이버금융,0.15789473684210525,0.7368421052631579,0.10526315789473684,19.0,185.0,71.0,457.0,3.0,14.0,2.0
20210604,1110.52,1116.64,1119.51,1108.77,-0.0053,-5.940000000000055,일반언론,0.2562326869806094,0.1260387811634349,0.6177285318559557,722.0,네이버금융,0.7894736842105263,0.10526315789473684,0.10526315789473684,19.0,185.0,91.0,446.0,15.0,2.0,2.0
20210607,1110.62,1110.68,1114.53,1109.07,0.0001,0.099999999999909,일반언론,0.2923809523809524,0.09904761904761905,0.6085714285714285,1050.0,네이버금융,0.43478260869565216,0.391304347826087,0.17391304347826086,23.0,307.0,104.0,639.0,10.0,9.0,4.0
20210608,1117.72,1110.8,1118.81,1108.99,0.0064,7.100000000000136,일반언론,0.2624113475177305,0.1148936170212766,0.6226950354609929,705.0,네이버금융,0.55,0.1,0.35,20.0,185.0,81.0,439.0,11.0,2.0,7.0
20210609,1115.61,1117.72,1119.02,1112.3,-0.0019,-2.1100000000001278,일반언론,0.29108635097493035,0.11977715877437325,0.5891364902506964,718.0,네이버금융,0.625,0.1875,0.1875,16.0,209.0,86.0,423.0,10.0,3.0,3.0
20210610,1112.32,1117.03,1119.26,1111.93,-0.0029,-3.289999999999964,일반언론,0.2679355783308931,0.13177159590043924,0.6002928257686676,683.0,네이버금융,0.631578947368421,0.05263157894736842,0.3157894736842105,19.0,183.0,90.0,410.0,12.0,1.0,6.0
20210611,1116.4,1112.56,1118.54,1109.25,0.0037,4.080000000000155,일반언론,0.23295454545454544,0.10653409090909091,0.6605113636363636,704.0,네이버금융,0.5263157894736842,0.3157894736842105,0.15789473684210525,19.0,164.0,75.0,465.0,10.0,6.0,3.0
20210614,1116.33,1116.55,1120.05,1114.45,-0.0001,-0.0700000000001637,일반언론,0.2755102040816326,0.09369202226345083,0.6307977736549165,1078.0,네이버금융,0.4090909090909091,0.22727272727272727,0.36363636363636365,22.0,297.0,101.0,680.0,9.0,5.0,8.0
