,press,title,date,emotion
0,동아일보,지난달 수출 512억달러… 10년만에 최대 41% 증가,20210503,1.0
1,경향신문,"HDC현산, 영업정지 8개월 추가",20220414,0.0
2,한국경제,"""하반기 서울 아파트값, 신축·구축 할 것 없이 더 오를 것""",20200716,2.0
3,매일경제,"알뜰폰협회장 ""통신3사, 알뜰폰 사업 철수해야""",20201028,2.0
4,경향신문,"17개월 만에 만난 미·중 국방, 대만·우크라 놓고 공방전",20220611,0.0
5,한국경제,"서울 50억 넘는 초고가 아파트, 1조원 가까이 팔려",20220607,2.0
6,경향신문,서울 프랜차이즈 브랜드 늘고 가맹점 매출 줄어,20220601,0.0
7,한국경제,"""코로나發 중소기업 '연명 대출'이 금융사 자산건전성 왜곡할 수도""",20200717,2.0
8,한겨레신문,고유가 누를 수 있나? 바이든 사우디 방문·오펙플러스는 증산 발표,20220604,1.0
9,동아일보,"원전수사팀 “경제성 조작, 수천억 피해”… 대검 “배임 적용 신중”",20210601,0.0
10,한국경제,"""방역 3단계 경제충격, 2단계의 3배""",20200828,0.0
11,한국경제,서울 전체 그린벨트 중 '개발 가능한 곳'은 21% 불과,20200723,0.0
12,동아일보,"안철수 복귀, 깜짝 흥행 노린 기회주의 아닌가",20200103,2.0
13,동아일보,미얀마 군부 쿠데타… 아웅산 수지 구금,20210202,0.0
14,동아일보,"38노스 “北영변서 냉각수 방출, 위성사진에 포착”",20210901,0.0
15,동아일보,"국내 최대 음압병원, 진단-회복까지 원스톱",20220223,1.0
16,한겨레신문,"문재인 대통령 “고용 연장, 본격적으로 검토할 때 됐다”",20200212,1.0
17,동아일보,호텔 빌려 국내 식재료 음식 24시간 제공,20200103,2.0
18,경향신문,윤 대통령 “미국도 그렇다”…법률가의 통치를 법치로 인식,20220609,2.0
19,동아일보,KB스타즈 3시즌 연속 챔피언결정전 진출,20210303,1.0
20,동아일보,CJ ENM “5년간 5조원 투자해 오리지널 콘텐츠 제작”,20210601,2.0
21,동아일보,코로나 통제불능… 英-포르투갈-벨기에도 봉쇄령,20201102,0.0
22,동아일보,"대한항공, 2024년 아시아나 통합… LCC 3개도 합친다",20210401,2.0
23,동아일보,"“청년도약계좌, 자산은 안보고 월급따져 탈락… 이게 공정한가요”",20220519,0.0
24,동아일보,"2년 만에 관중 맞은 프로축구… 전북, 개막전 완승",20210301,1.0
25,동아일보,"기아, 싱가포르 신선제품 배송에 전기차 투입",20210203,2.0
26,매일경제,"트럼프 ""코로나 中 책임져야""…시진핑 ""美, 돈키호테처럼 시대 역행""",20200924,2.0
27,동아일보,주요국 경제단체 38% “올해 마이너스 성장”,20210705,0.0
28,동아일보,"서울, 누적 확진자 7228명… 대구 앞질러",20201120,0.0
29,한겨레신문,31번째 환자 방문 신천지 신도 “‘예배 안 봤다’ 해라” 거짓 종용 논란,20200220,0.0
30,경향신문,‘코로나 학력저하’ 초·중·고교 학생 성취도 평가 논란,20220614,0.0
31,한겨레신문,“손님이 없어요” 백화점·면세점·동네 음식점까지 ‘썰렁’,20200203,0.0
32,한국경제,'한국의 실리콘밸리'에서 '영앤리치' 잡는 현대백화점,20220112,2.0
33,동아일보,"박지수 나갔지만 장거리포 폭발… KB, 강적 우리은행 꺾고 선두로",20200107,2.0
34,매일경제,코로나에 IT호황 `판교의 재발견`…영앤리치 몰린다,20200903,1.0
35,한겨레신문,인플레 공포에 얼어붙은 시장…코스피 2500선도 뚫리나,20220614,0.0
36,동아일보,산 권력 수사 중인 검찰총장 수족 다 자른 ‘檢 인사 폭거’,20200109,2.0
37,한겨레신문,"서울시, ‘스마트도시’ 주제로 CES에 단독 부스…혁신기업·시 기술 홍보",20200106,1.0
38,경향신문,여당 대표·최다선 내전 계속…“어느 편 들어도 손해” 의원들은 관망 모드,20220610,0.0
39,한겨레신문,"해리스 미국대사, 한국 남북협력 추진에 견제구",20200117,2.0
40,동아일보,서울시 美 국제가전展 첫 참가,20200106,2.0
41,동아일보,"공수처-檢,‘조희연 사건’ 놓고 권한 갈등… “엉성한 법 때문”",20210804,0.0
42,매일경제,기부금 450억 늘었는데…사립대 장학금은 줄었네,20200901,0.0
43,경향신문,"세대교체 여자배구, 숙적 일본에 ‘완패’",20220603,0.0
44,매일경제,"아모레퍼시픽, 누적판매 7000만 헤어 에센스…향도 효능도 모두 한단계 진화",20220421,1.0
