,press,title,date,emotion
325,경향신문,"디지털 전환·혁신 생태계 재편·정부 역할 재정립…포스트 코로나, 뉴노멀 전략 필요",20220608,중립
275,동아일보,서울 213명 하루 최다… 단합대회 노원구청 23명 감염,20201127,부정
39,한국경제,메타버스 시대를 준비하라,20220101,중립
67,동아일보,"1박2일 결투 권순우, 윔블던 1회전 첫 통과",20210701,긍정
28,경향신문,SSG ‘홈런공장’ 멈추질 않네,20220411,긍정
275,경향신문,"‘코로나 불황’ 해고·권고사직 피해, 2주 새 3배 이상 늘었다",20200323,부정
134,한겨레신문,허웅 대 허훈…프로농구 올스타전 ‘형제 맞대결’,20200110,중립
363,경향신문,6세 꼬마부터 98세 할아버지까지 ‘걷쥬’ 열풍···왜일까,20220525,긍정
299,한국경제,3월 폭락장에도 한달 만에 원금회복…'위드타임' 올해 수익률 10.7%,20200731,긍정
26,조선일보,과학과 예술을 넘나드는 이 남자 “한 우물만 파서야 되나”,20220301,중립
132,한국경제,MZ세대 튀는 아이디어 담은 화장품 어때요?,20220602,긍정
159,한국경제,中 줄어드니…韓 초미세먼지 지난해 역대 최저,20220106,긍정
164,한겨레신문,국세청 “연구·인력개발비 세액공제 사전심사 실시”,20200114,중립
526,동아일보,"“4단계 AI, 주인 표정 읽고 먼저 상황 대처”",20200108,중립
139,한겨레신문,"추미애, 윤석열 수사재량권도 ‘제동’…“별도 수사팀, 내 승인 받으라”",20200111,중립
19,동아일보,文대통령 2차 접종… ‘백신 바꿔치기’ 논란 간호사 “마음고생 있었다”,20210501,부정
251,동아일보,상가 권리금 역대 최저… 3년 연속 하락세,20210203,부정
48,경향신문,세입자 부담 불 보듯…주택임대차법 ‘손질 논의’ 이르다,20220601,중립
0,매일경제,"""당신은 좌파"" ""입 닥쳐""…막말 쏟아낸 美대선 토론",20201001,부정
275,한국경제,'국민 드링크' 박카스 의존 벗어나는 동아제약,20220607,긍정
96,동아일보,"임성재, 올해 내 꿈은… “가슴에 태극마크 달고 금빛 티샷을”",20210102,중립
61,한국경제,"한국경영과학회, 4일까지 학술대회",20220601,중립
42,동아일보,"24년 만에 높인 1cm… 우상혁, 육상 사상최고 4위",20210802,긍정
33,동아일보,美 국방부 2인자에 주한미군 철수 반대 여성,20210101,중립
647,경향신문,남녀 통합 골프대회 첫 여성 챔피언…男 부럽지 않네,20220614,중립
133,매일경제,"北 ICBM 공개하자…""트럼프 불같이 화냈다""",20201013,부정
150,한겨레신문,지난해 경상수지 흑자 7년만에 최저치,20200207,부정
55,경향신문,"청주대, 15년 연속 세계 3대 디자인상 수상",20220505,긍정
75,매일경제,사천서 훈련기 2대 충돌…낙하산 탈출했지만 조종사 등 4명 순직,20220402,부정
393,경향신문,"경찰, 31명 잇달아 체포…파업 노동자 30여명 계약해지당해",20220609,중립
238,동아일보,“집에서 숨만 쉬고 지냈다”…‘제로 소득’ 내몰린 2030,20201125,부정
5,동아일보,세계 홀린 720도 몸 비틀기 기술… 여서정이 ‘여서정’ 했다,20210802,긍정
177,매일경제,"본투글로벌센터, 하루 4회 비대면 글로벌 IR…유망 스타트업 해외진출 돕는다",20200915,긍정
36,동아일보,"美, ‘카슈끄지 암살 배후’ 사우디 왕세자 면죄부 논란",20210301,부정
116,동아일보,서울대도 경쟁률↓… 주요大 평균 5.62:1,20200102,중립
274,경향신문,‘n번방’ 성착취물 본 유료 회원들도 “성폭력 공범 처벌 가능”,20200323,부정
4,동아일보,캐나다 공항 입국때 코로나 검사 의무화,20210201,중립
303,동아일보,아파트 전세난에 오피스텔까지 동반 상승,20210105,부정
247,경향신문,부산 온천장 “확진자 동선 나온 뒤 발길 끊겼어요”,20200316,부정
226,한국경제,"조국, 또 혐의 부인…'입시비리' 재판 재개",20220604,부정
303,매일경제,금리 공시 있으나마나…싼이자 찾는 고객 골탕,20220427,부정
288,경향신문,"개학 땐 방역 한계…정부, 2주간 ‘사회적 거리’ 더 벌린다",20200323,부정
225,동아일보,"안철수 복귀, 깜짝 흥행 노린 기회주의 아닌가",20200103,중립
261,매일경제," ""게임 본업으로 승부""…세계를 뒤흔든 스마일게이트",20220223,긍정
86,경향신문, 행복한가요?,20220506,긍정
138,한국경제,코로나 재확산에 '소비쿠폰' 잇단 취소,20200817,부정
55,동아일보,"文 대통령, 지지층에서 벗어나 국민 전체를 바라보라",20200101,부정
159,매일경제,"삼성물산, 국제 디자인賞 수상",20220211,긍정
39,동아일보,주총시즌 돌입… 소액주주 ‘온라인 참여’ 활발할 듯,20210301,중립
265,매일경제,"러 ""목표는 돈바스·우크라 남부 완전장악""",20220423,부정
188,동아일보,"부산시, 유라시아 태평양 관문도시로 거듭난다",20200103,긍정
144,한국경제,최장 장마에 제습기·의류건조기 불티,20200817,중립
75,경향신문,"경기, 중·고생 26%가 ‘도박 경험’…중독 등 ‘고위험군’ 5.8%로 심각",20200403,부정
123,조선일보,"①혐의 소명여부… 檢 ""삼성 승계 보고문건 있다"" 삼성 ""법원, 합병 문제없다해""",20200608,중립
