,press,title,date,emotion
63,동아일보,연휴 마지막날 미시령 55.3cm 폭설… 차량 수백대 고속도로 고립 ‘아수라장’,20210302,0
294,동아일보,미얀마 또 ‘피의 진압’… 反쿠데타 시위 한달새 최소 45명 총격 사망,20210304,0
9,경향신문,“매출 줄었으니 2~3개월 무급으로 쉬고 나와라”…코로나 ‘직장갑질’ 도 넘었다 ,20200302,0
119,한겨레신문,꽃지 해수욕장 등 안면도 관광지 개발 내년3월 첫 삽,20220610,1
220,동아일보,미국발 긴축-우크라 사태… 증시 두달새 162조 증발,20220228,0
239,동아일보,농수산물도매시장 과일선물세트 수북,20210203,2
93,한겨레신문,온라인 맞서…유통사 ‘다양한 경험 판매’ 초거대 마트 승부수,20200108,2
38,경향신문,"국비 311억원 확보…울산, ‘미니 해저도시’ 향해 한 걸음",20220414,1
77,한국경제,"멤버십 가격 올린 쿠팡, 안도의 한숨",20220103,2
211,동아일보,박범계 땅 이어 부인 부동산도… 잇단 신고누락 논란,20210105,0
43,경향신문,‘외형성장·수익개선’ 두 토끼 잡았다,20220504,1
164,한국경제,"대법 ""전세대출 못 갚아도 금융사가 해지 못해""",20200725,0
14,동아일보,"현대重지주, 창사 최대 ‘영업이익 1조’ 달성",20220208,1
233,동아일보,현물? 현금? “선물 준비하셨나요”,20210504,2
178,매일경제,"한국농수산식품유통공사, 집중호우 피해 수재민에 복구지원금",20200915,1
111,동아일보,코로나에도 평점 9.8 “대학로 살아있네∼”,20210302,1
594,동아일보,“봉사자 헌신 힘입어 20년간 알코올 중독자 2만건 치료”,20200109,2
128,한국경제,"美 사모펀드, 작년 기술기업 투자 '사상 최대'",20220105,1
109,동아일보,"임기 말 각료 청문회, 줄 잇는 도덕성 의혹 눈감기 안 된다",20210503,0
120,한국경제,네이버 상반기 결제액 12兆 추산 '역대 최대',20200722,1
452,동아일보,"美, B-52 6대 인도양 급파해 이란 압박",20200108,0
12,동아일보,‘똘똘한 1채’ 등 논란속 2년만에 떠나는 노영민,20210101,2
99,동아일보,한국 누리꾼도 美대선 큰 관심… 뉴스 댓글 59% ↑,20201109,2
34,동아일보,녹십자 3분기 매출 4196억,20201103,2
141,동아일보,예비명단 위한 ‘백신 노쇼’ 알림 앱 나온다,20210504,2
497,한국경제,美 '최악' 물가에 긴축공포 '최고조',20220613,0
142,동아일보,강봉학 별세·이진수 모친상 外,20210202,0
275,한국경제, 대한통운 택배 멈추자 농가 '피눈물',20220122,0
61,동아일보,코로나 2년간 여행사 1377곳 줄어… 야영장 수는 506개 늘어나 호황,20220210,2
533,동아일보,설 제수용 과일상자 ‘산더미’,20200108,2
593,동아일보,대세보다 취향 중심 시장 변화… 뉴트로 경향 당분간 지속,20200109,2
210,동아일보,"한국 여자 쇼트트랙 간판스타 심석희, 3일 서울시청 입단",20200103,2
37,동아일보,佛 사흘간 119명-獨 4만명… 백신접종 속도 나라마다 천지차이,20210101,2
287,한겨레신문,‘공항 떼창’에 놀란 퀸…“BTS 무대서 영감 받기도”,20200117,2
296,한겨레신문,“정비·관제 분리 검토”…‘철도 민영화’ 논란 5년 만에 재점화,20220629,0
53,동아일보,‘무착륙 비행’ 같은 관광상품 아이디어 찾아요,20210401,2
29,한겨레신문,“대선 한끗 차 석패가 독약이었다” 연장전서 자책골 참패한 민주당,20220603,0
5,동아일보,“야망충 되기 싫다… 보람만 포기하면 갓9급”,20200101,2
131,동아일보,“체험-교육 기회 늘려 공예저변 확대할것”,20220518,1
227,동아일보,메이저리그 보스턴 페드로이아 은퇴 선언,20210203,2
75,경향신문,코로나19 직격탄 맞은 국가들 ‘경기 응급 처치’ 총력,20200303,0
161,한국경제,"BNK캐피탈-다나와, 업무협약",20220602,1
195,동아일보,"日 개헌여론, 아베때보다 커졌다… “코로나-中위협에 강국 열망”",20210504,0
221,한겨레신문, “검찰이 앞장서 개혁하라” 촉구한 문 대통령,20200115,2
399,동아일보,드론으로 미군 치려다 드론에 당한 솔레이마니,20200107,0
64,동아일보,‘그냥 쉰다’ 사상 최대 246만명,20201105,0
325,동아일보,‘불멸의 현역’ 애틀랜타 카터,20200106,2
290,동아일보,정읍 이삿짐센터 살인범 11년만에 공개수배,20200106,2
594,경향신문,‘국회의 행정입법 통제’ 정권 바뀔 때마다 여야 공수 교대,20220614,0
326,매일경제,"한동훈 ""검수완박 침묵하는 건 양심 문제""",20220427,0
281,매일경제,대면공연 목말랐나…클래식 매진 또 매진,20201030,1
333,동아일보,벤처가 도전해야 ‘일자리 운동장’ 커진다,20200106,2
320,동아일보,"男배구 KB손보, 201cm 마테우스 영입",20200106,2
622,동아일보,"최태원, 다보스서 ‘사회적 가치 경영’ 알린다",20200109,2
149,조선일보,"한숨 돌린 삼성, 여론 설득 나설듯",20200610,2
198,한국경제,"경남도·대우조선해양, 'e경남몰 활성화' 업무 협약",20220111,1
214,동아일보,"원스토어, MS-도이치텔레콤서 168억 투자 유치",20210602,1
272,동아일보,이란 “美시설 35곳 타깃”… 트럼프 “52곳 반격 조준”,20200106,0
62,한국경제,나눔운동·플래시커피 '기부확산' 협약,20220601,1
210,동아일보,"中 “아태 긴장고조 반대” IPEF 출범 반발… 尹 “中, 민감 반응하는건 합리적이지 않아”",20220524,0
11,동아일보,"北, 영변 이어 강선에선 우라늄 농축 활동",20210901,0
652,동아일보,새 대법관 후보에 노태악-윤준-권기훈-천대엽,20200110,2
173,동아일보,경총 ‘금속노조탓 콜트 폐업’ 기고… 법원 “노조에 900만원 배상하라”,20200103,2
398,동아일보,목청 높이는 중동 반미세력… “미군 몰아내고 대가 치르게 할것”,20200107,0
38,동아일보,"도봉구 해등로 녹지연결로 조성공사, 주민 의견수렴 거쳐 3개월만에 재개",20210601,1
267,동아일보,"LG 이민호 7이닝 무실점, 한화 천적 맞네",20210705,1
431,동아일보,“키코 배상 수용 땐 분쟁 줄이을 텐데…” 몸 사리는 은행들,20200107,2
30,동아일보,수시채용 늘자 현직자 찾는 취준생 “기업정보 들을 수 있는 멘토링 유익”,20201103,2
131,한국경제,주식·펀드로 번 돈 5000만원까지는 세금 면제…장기투자 혜택 빠져,20200723,2
374,한국경제,한경 조영선 기자 '이달의 편집상',20220125,1
24,한겨레신문,중국 공장 중단에 부품 차질까지…국내 기업 “비상계획 준비”,20200203,0
113,한국경제,"""탈원전이 낳은 신재생 카르텔""…에너지건물 인증, 4곳이 수백억 독식",20220602,0
448,한국경제,'아저씨 패션' 이미지 못 벗어…'30년 1위' 뺏긴 빈폴의 수모,20220610,0
140,한국경제,"LG상사, 2분기 영업익 40% 감소",20200723,0
161,매일경제,"초보 맞아?…자율차, 끼어들기에도 방어운전",20220211,2
16,한국경제,3년새 2000여명 개 물림사고로 병원에…파상풍 막으려면 예방접종이 가장 확실,20200801,2
152,경향신문,"세종시장 당선인 최민호, 민주당 강세 세종서 현 시장 3선 저지…“기적”",20220603,1
187,동아일보,스가 연임할까… 日자민 차기 총재 선출 착수,20210805,2
543,동아일보,내시경 이상 없는데 복통-설사… “스트레스 줄이고 배는 따뜻하게”,20200108,2
13,경향신문," 감동을 넘어 감탄, 상상이 현실이 되는 K문화",20220401,1
388,한국경제,"한투, 10년간 퇴직연금 제일 잘 굴렸다",20220609,1
248,동아일보,교수-신입생 아바타로 등장 ‘가상 입학식’,20210303,2
110,동아일보,셀트리온 3분기 매출 5488억-영업이익 2453억 사상 최대,20201110,1
340,한국경제,조선해양 ICT융합 지원사업 '결실'…울산 30개社 매출 15% 늘었다,20220608,1
178,경향신문,"민생당 “위성정당 꼼수, 심판해달라” ",20200413,2
129,경향신문,분자 단위 분류 시스템 나오자 자궁내막암 진단·치료 빨라져,20220430,1
91,경향신문,알아서 주차 ‘척척’…르노삼성 소형 SUV ‘XM3’ 공개,20200304,2
341,경향신문,양산 아파트 공사장 옆 고리도롱뇽 ‘여전히 수난’,20220608,0
67,동아일보,코스피 1년5개월만에 2600 붕괴… ‘S공포’에 亞증시 롤러코스터,20220511,0
247,한겨레신문,‘교부금 개편’ 교육계 들끓는데…교육부 침묵모드 돌변,20220621,0
474,동아일보,"박영선, 윤건영과 지난달 구로서 오찬… 선관위 “위법 소지”",20200108,2
284,동아일보,“만 18세 고교생 유권자 눈높이 맞춰라”,20200106,2
31,한겨레신문,감염 우려에…정월 대보름 행사·졸업식·축제 줄줄이 취소,20200203,0
212,한국경제,불붙은 '이재명 책임론'…계파갈등 폭발하나,20220604,0
286,한겨레신문,유권자 77% “기후위기 공약 제시한 정당·후보에 투표”,20200228,1
503,동아일보,"윤동주 친필 원고, 보물 될까",20200108,2
91,한국경제,"KT, 스타트업 공모전 연다…VR 서비스 발굴",20200812,2
310,동아일보,美日과 “대북 제재” 강조한 날 中 “완화”… 엇박자 자초한 韓,20210405,0
127,경향신문,"외국인 8일 만에 ‘순매수’로 돌아서…코스피, 2050선 회복",20200305,1
226,동아일보,"GS25, 전화사기 피해 점포 지원… 보험 가입 통해 최대 70만원 보상",20220228,1
447,한국경제,"CJ대한통운, 첨단 물류시스템 동남아로 확대",20220610,1
